Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,PLTR,SPY,TSLA,PLTR,SPY,TSLA,PLTR,SPY,TSLA,PLTR,SPY,TSLA,PLTR,SPY,TSLA
Date,,,,,,,,,,,,,,,
2010-01-04,,86.02645111083984,,,86.07199401172878,,,84.64492713449737,,,85.29773574004199,,,118944600,
2010-01-05,,86.25415802001953,,,86.29211429241285,,,85.66207723509396,,,85.9733024530397,,,111579900,
2010-01-06,,86.31489562988281,,,86.52743688048602,,,86.10235437927959,,,86.1706687278386,,,116074400,
2010-01-07,,86.67926025390625,,,86.78553088418276,,,85.91258860006997,,,86.15549372517557,,,131091100,
2010-01-08,,86.96771240234375,,,87.0056686826623,,,86.2769532728053,,,86.45153826311396,,,126402800,
2010-01-11,,87.08917236328125,,,87.39279945624675,,,86.71721932916203,,,87.35484896528385,,,106375700,
2010-01-12,,86.27693939208984,,,86.69442945184937,,,85.94294271123073,,,86.51225207652367,,,163333500,
2010-01-13,,87.00569152832031,,,87.24859672872053,,,86.05684218436369,,,86.49710387855879,,,161822000,
2010-01-14,,87.2409896850586,,,87.40039565315834,,,86.85385759606444,,,86.90699291876436,,,115718800,
2010-01-15,,86.26177215576172,,,87.1726650094474,,,85.92777540679639,,,87.0891716135216,,,212283100,
2010-01-19,,87.33965301513672,,,87.39278832877167,,,86.22380563748789,,,86.24658287874415,,,139172700,
2010-01-20,,86.45152282714844,,,86.87660529250418,,,85.76076382094537,,,86.74756322856608,,,216490200,
2010-01-21,,84.78916931152344,,,86.74000319879727,,,84.6828986555098,,,86.47432655876317,,,344859600,
2010-01-22,,82.89906311035156,,,84.8195331243822,,,82.80797149469625,,,84.40962954090791,,,345942400,
2010-01-25,,83.32414245605469,,,83.80995859578744,,,83.05087920247202,,,83.65813924233466,,,186937500,
2010-01-26,,82.9749526977539,,,83.85548742598087,,,82.77000384415084,,,82.99772414911922,,,211168800,
2010-01-27,,83.3696517944336,,,83.5594215531619,,,82.23103324206377,,,82.86865685156043,,,271863600,
2010-01-28,,82.41321563720703,,,83.6884687256311,,,81.91222645495853,,,83.64292583396681,,,316104000,
2010-01-29,,81.51751708984375,,,83.34690079250838,,,81.38847501217354,,,82.76999896290974,,,310677600,
2010-02-01,,82.78517150878906,,,82.7927639219729,,,81.60100986994351,,,82.09441248323395,,,187865000,
2010-02-02,,83.78719329833984,,,83.94659929871135,,,82.64857404598597,,,82.93702796302516,,,216327900,
2010-02-03,,83.3696517944336,,,83.86305432538987,,,83.12674673491391,,,83.4076022713912,,,172730700,
2010-02-04,,80.79637908935547,,,82.76239112577429,,,80.78119426462709,,,82.7244406465809,,,356715700,
2010-02-05,,80.96340942382812,,,81.13040202266734,,,79.38452292403497,,,80.8874968528004,,,493585800,
2010-02-08,,80.37886810302734,,,81.47194362454015,,,80.31814039820715,,,81.02408404063205,,,224166900,
2010-02-09,,81.38849639892578,,,82.09444049169812,,,80.66736747460509,,,81.32017623959098,,,337820500,
2010-02-10,,81.22905731201172,,,81.67691120779412,,,80.54588495366107,,,81.25942117141774,,,240511500,
2010-02-11,,82.07923889160156,,,82.17033048833277,,,80.6521719573705,,,81.12280318684228,,,223591600,
2010-02-12,,82.01093292236328,,,82.0564758297276,,,80.84954245404666,,,81.21389729559284,,,304622100,
2010-02-16,,83.30138397216797,,,83.38488318174007,,,81.84395269997385,,,82.63339608690828,,,159317500,
2010-02-17,,83.69607543945312,,,83.8099384793838,,,83.30135100653541,,,83.70366206181765,,,168845100,
2010-02-18,,84.18948364257812,,,84.36406862952397,,,83.5290826004367,,,83.55944646584362,,,193708600,
2010-02-19,,84.36408233642578,,,84.69048670343818,,,83.77200134308143,,,83.9693636046349,,,222684900,
2010-02-22,,84.37924194335938,,,84.69805379965374,,,84.12874443142194,,,84.67528235153476,,,132346900,
2010-02-23,,83.35450744628906,,,84.40962735386364,,,83.13437372431301,,,84.1515431365018,,,207497000,
2010-02-24,,84.12115478515625,,,84.25778926967858,,,83.39243946480867,,,83.60498070932906,,,176350700,
2010-02-25,,84.00728607177734,,,84.06801379219726,,,82.694082417753,,,82.92180268235646,,,259634700,
2010-02-26,,84.06041717529297,,,84.3488709372044,,,83.58219943135956,,,84.08318862148306,,,173589300,
2010-03-01,,84.93336486816406,,,85.01686403722005,,,84.38682695845736,,,84.40959840614276,,,147709700,
2010-03-02,,85.16868591308594,,,85.5785893856194,,,85.01687238606533,,,85.29773378149977,,,160992400,
2010-03-03,,85.24459075927734,,,85.75317239925188,,,85.03204373282827,,,85.38881185951062,,,150785000,
2010-03-04,,85.50269317626953,,,85.62414864592994,,,85.03965433299145,,,85.35846625387668,,,135770400,
2010-03-05,,86.72479248046875,,,86.79310682381725,,,85.85185030380292,,,86.056804916477,,,176118800,
2010-03-08,,86.73997497558594,,,86.92974476976588,,,86.58816145676779,,,86.73238835356518,,,114631200,
2010-03-09,,86.88421630859375,,,87.28652741249071,,,86.43636229974707,,,86.48190520469677,,,154556700,
